id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4tP2kbroBcBmYk4IhbYwu5,Bola Uma Vela (Trava Chip),82,99692,False,"MC Meno K, Dj Yuri Pedrada","1CbQrKvCpEnekM3QMGJtXK, 3EYuWIltJb3kzoKyRzcTsi",2026-02-26,,,,,,,,,,,,
587Lf3LyhC8smoFnNIQtn3,Eu Te Seguro - Ao Vivo,81,148561,False,"Panda, MJ Records","5qIpstBGrGteJZg1xIvbiz, 0oAZhL6hFrM3YRr6QzjlOf",2025-09-18,,,,,,,,,,,,
22bl3LPkCHQSBhCAdw8Jwk,Famoso Ímã | O poderoso chatão,84,217845,False,"Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF","1mV9h1AwhRXSjBFcYpajgY, 28ie4NNTa2VW2QV4Zray8M, 6VyttZwyEMGBl90oGdKCB8, 2isWi9fP3idxCaGPPEelEQ",2026-02-18,,,,,,,,,,,,
65aH3l8LEmRp3HuH5XpKoH,Carnívoro,84,216000,True,"Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","6qrqAYlS6lUj2BVXax7SZW, 1mV9h1AwhRXSjBFcYpajgY, 4LHTgACY32k94VDjenF0nP, 1bpnl8qbR9GxmiNlkEufW6",2026-02-13,,,,,,,,,,,,
6n9JMoXkXu4lDOu1k6MRpy,Reliquia do 2T,87,306000,True,"DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","3Y4ODN6kIBNpQj6eWNT9xw, 3UfwtvPZZea2HHwI23VtKP, 6aoGgTKGqtsjj48ymcNs4Z, 6XFc29m1ptfUNmaa1UTuBT, 06CW6ZcdRZc14gC6wr3bt6, 4s6x9M7UXoKy12iOrDILhj",2026-02-06,,,,,,,,,,,,
4tYCyoSpv0Ujpfwcneb02l,Posso Até Não Te Dar Flores,86,162461,True,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","1bpnl8qbR9GxmiNlkEufW6, 1CbQrKvCpEnekM3QMGJtXK, 75i9GaW2MJUgt4BkdUnuUY, 6qrqAYlS6lUj2BVXax7SZW, 5ffbqOCrcxCejQ7oqfWXm9",2025-09-11,,,,,,,,,,,,
588PdhJdtsuypJdUb4ms4K,PEGA A MALDADE DA BANDIDA,82,110769,True,"Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S","34kJWuUS4hNN1MkqiIG0dS, 5Rs4gTYf15iES8jXZqhx2L, 5qfEsHuNWVkGs5diuRf5OK, 1APqNiQUA2XpwLEbywSWmZ",2025-12-10,,,,,,,,,,,,
2FBgVaH95hUfKBK8GUbvju,Amo Minha Favela,84,119538,True,"DJ Japa NK, MC Meno K","1bpnl8qbR9GxmiNlkEufW6, 1CbQrKvCpEnekM3QMGJtXK",2025-12-11,,,,,,,,,,,,
2rKkfc4VZ74FQDc1FF1Zo6,Body to Body,95,189725,False,BTS,3Nrfpe0tUJi4K4DXYWgMUX,2026-03-20,,,,,,,,,,,,
6kaWah1Acn1dtNjAy6sm1p,Diário de um Cafajeste,84,357120,True,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","1b8S7EPzdckRyIh0uSbOMI, 1mV9h1AwhRXSjBFcYpajgY, 1CbQrKvCpEnekM3QMGJtXK, 75i9GaW2MJUgt4BkdUnuUY, 6aoGgTKGqtsjj48ymcNs4Z, 4LHTgACY32k94VDjenF0nP",2025-11-06,,,,,,,,,,,,
48SYVECjCIwWWsqogDHWVF,10 SEGUNDOS,81,154037,False,"Luan Pereira, Panda","5kVgcCdPbeUwxBqWxi2Ktl, 5qIpstBGrGteJZg1xIvbiz",2026-02-26,,,,,,,,,,,,
17tg01y3RhlfRKMnd333yL,Apaga Apaga Apaga - Ao Vivo,82,178882,False,Danilo e Davi,5DaqVKaxeqDbJuxaIP9m4u,2024-08-09,,,,,,,,,,,,
1JZDwJgE9VSC0V2GR66z63,SET DO JAPA NK 2.0,83,518783,True,"DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila","1bpnl8qbR9GxmiNlkEufW6, 75i9GaW2MJUgt4BkdUnuUY, 1CbQrKvCpEnekM3QMGJtXK, 2q9wk5fkeU2C9CgCKdh4AN, 70jpkgy5oGT4YjaGFpCpk7, 6qrqAYlS6lUj2BVXax7SZW, 54bV1pHNm5h5EcEgMis1RC, 5XUMgbLR3zyRPesnTQY31C, 1mV9h1AwhRXSjBFcYpajgY, 2f8xoxornfSw6ePzgyM9NO",2025-11-20,,,,,,,,,,,,
3jhyw60F61gc7nC4dblqtC,JETSKI,85,148645,True,"PEDRO SAMPAIO, MC Meno K, Melody","5wbf52LA6kcaboHSN6NEF1, 1CbQrKvCpEnekM3QMGJtXK, 7ySZCEP4HFGckYYPK5rqFI",2025-12-18,,,,,,,,,,,,
7qqixxBvZIGSep53Eh2o0b,Gauchinha,85,273326,False,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","1bpnl8qbR9GxmiNlkEufW6, 1CbQrKvCpEnekM3QMGJtXK, 75i9GaW2MJUgt4BkdUnuUY, 1SZXYhJz4sqEss888VmWLP, 70jpkgy5oGT4YjaGFpCpk7",2025-12-17,,,,,,,,,,,,
1yJYseCZJYRHZkl1DJ3tLs,"Bebe, Beija e Trai - Ao Vivo",83,156536,False,"Mayke & Rodrigo, Panda","70l6HIf0rz8ZMQCW5qK6QI, 5qIpstBGrGteJZg1xIvbiz",2025-10-30,,,,,,,,,,,,
1CqUGmt2Cyn2vvvAyQKJZQ,Não Mexe nas Minhas Gavetas - Ao Vivo,82,126043,False,Danilo e Davi,5DaqVKaxeqDbJuxaIP9m4u,2026-01-29,,,,,,,,,,,,
68lbSrXDORS51pmyjZv712,SWIM,99,159007,False,BTS,3Nrfpe0tUJi4K4DXYWgMUX,2026-03-20,,,,,,,,,,,,
0HixceBFegrCY3GFBB7SlQ,Saudade do Carai,82,170777,False,"Mari Fernandez, Grelo, Natanzinho Lima","0BHm7qbh3ENxvXzkQAG7MP, 1eIYP01ZLPKEExhcV6xFgt, 0Il5vC8lqunSFNav4mMLxU",2025-11-20,,,,,,,,,,,,
